group,file,svg_size,tvg_size,ref_tvg_size,zstd_size,brotli_size,zstd_dict_size
papirus,application-x-virtualbox-vhd.svg,762,410,421,269,267,41
papirus,transmageddon.svg,1218,817,735,392,358,162
papirus,babe.svg,1645,1118,1229,426,353,230
papirus,battery-low.svg,470,118,298,90,87,77
papirus,folder-cyan-visiting.svg,995,627,650,414,387,38
papirus,folder-pink-music-open.svg,888,632,606,399,370,94
papirus,folder-cyan-github.svg,1637,833,836,622,601,38
papirus,folder-magenta-kde.svg,1722,902,918,666,638,48
papirus,lightzone.svg,566,284,287,193,197,170
papirus,folder-bluegrey-print.svg,875,617,621,411,380,38
papirus,folder-white-cd.svg,786,553,557,346,313,56
papirus,folder-carmine-cd.svg,792,553,557,341,317,57
papirus,preferences-desktop-thunderbolt.svg,609,257,265,180,171,102
papirus,text-x-common-lisp.svg,2334,705,919,585,546,429
papirus,folder-brown-videos-open.svg,865,589,593,393,368,63
papirus,folder-red-photo.svg,918,644,624,416,390,39
papirus,ryujinx.svg,1706,801,834,516,487,183
papirus,bloomrpc.svg,1735,608,572,550,545,533
papirus,terratech.svg,785,466,470,262,249,39
papirus,dosbox.svg,1473,1227,1303,526,454,205
papirus,redirection.svg,654,413,416,249,235,114
papirus,edge-game.svg,3230,1483,1224,909,840,243
papirus,folder-violet-drag-accept.svg,628,425,429,267,245,38
papirus,phoronix-test-suite.svg,1029,535,547,344,303,133
papirus,rto-proxy.svg,2069,731,753,453,407,94
papirus,user-teal-desktop.svg,517,305,297,207,202,27
papirus,komodo-edit.svg,7445,2418,2417,1438,1321,1332
papirus,muon.svg,736,377,382,265,267,174
papirus,tipp10.svg,961,888,891,354,297,236
papirus,text-x-eiffel.svg,2682,1088,1088,667,611,136
papirus,folder-red-music.svg,888,632,606,405,362,38
papirus,i2pd.svg,2040,718,728,437,427,140
papirus,folder-paleorange-video.svg,874,589,601,393,366,38
papirus,user-blue-home-open.svg,773,546,550,358,325,40
papirus,folder-cyan-cd.svg,792,553,557,347,325,56
papirus,custom-toolbox.svg,1485,708,716,455,439,303
papirus,folder-nordic-github.svg,1637,833,836,626,604,38
papirus,user-white-desktop.svg,517,305,297,207,202,34
papirus,folder-violet-unlocked.svg,970,641,652,425,393,35
papirus,akira.svg,2148,663,787,416,396,345
papirus,folder-deeporange-visiting.svg,995,627,650,415,396,38
papirus,folder-yellow-pictures-open.svg,850,605,609,401,371,53
papirus,scid.svg,1587,951,1033,417,381,106
papirus,ventoy.svg,2579,971,991,572,522,501
papirus,application-x-codeblocks-workspace.svg,699,340,344,209,194,27
papirus,battery-caution-charging.svg,804,98,452,91,85,76
papirus,emblem-remove.svg,156,60,60,69,65,41
papirus,folder-bluegrey.svg,700,501,505,326,291,38
papirus,folder-paleorange-wifi.svg,806,549,554,366,340,38
papirus,eureka.svg,1010,571,599,338,324,205
papirus,mouse-touchpad-gestures.svg,841,624,503,306,256,281
papirus,folder-black-snap.svg,799,568,572,368,335,74
papirus,application-x-designer.svg,1030,444,445,301,289,155
papirus,user-palebrown-home-open.svg,773,546,550,358,324,40
papirus,folder-violet-script.svg,1091,713,717,478,447,36
papirus,text-x-po.svg,779,409,420,288,254,128
papirus,ar.xjuan.Cambalache.svg,808,495,493,302,290,251
papirus,folder-bluegrey-development.svg,1290,752,730,492,490,38
papirus,user-breeze-home.svg,773,546,550,357,329,38
papirus,folder-pink-applications.svg,1292,801,802,508,462,38
papirus,kcmdf.svg,1002,637,640,358,324,122
papirus,kbibtex.svg,632,387,396,253,236,191
papirus,folder-red-music-open.svg,888,632,606,399,373,94
papirus,folder-yaru-remote.svg,858,592,593,402,366,38
papirus,face-cool.svg,1341,506,1091,327,294,265
papirus,folder-darkcyan-arduino.svg,2273,1174,1109,836,790,467
papirus,emblem-favorite.svg,485,180,181,171,169,134
papirus,folder-paleorange-mail-cloud.svg,938,640,650,456,434,38
papirus,folder-indigo-download.svg,778,551,555,361,334,38
papirus,kbruch.svg,751,416,434,264,253,33
papirus,ms-onenote.svg,1511,618,633,406,401,72
papirus,org.kde.plasma.systemmonitor.cpucore.svg,836,521,545,293,261,268
papirus,wicd.svg,1567,512,508,372,362,203
papirus,retext.svg,763,428,433,265,242,39
papirus,folder-teal-music-open.svg,888,632,606,399,367,94
papirus,gcolor3.svg,1790,692,695,419,395,351
papirus,folder-breeze-drag-accept.svg,628,425,429,267,249,40
papirus,applications-education.svg,1784,695,706,429,418,83
papirus,application-x-virtualbox-hdd.svg,762,410,421,269,260,41
papirus,user-darkcyan-home-open.svg,773,546,550,356,321,40
papirus,user-cyan-desktop.svg,517,305,297,206,203,37
papirus,folder-deeporange-unlocked.svg,970,641,652,422,391,38
papirus,nomacs.svg,1946,1078,1091,512,450,451
papirus,VCVRack.svg,844,294,295,168,158,92
papirus,user-bluegrey-home.svg,773,546,550,356,324,38
papirus,user-yaru-home.svg,773,546,550,357,321,38
papirus,quassel.svg,996,526,529,282,271,154
papirus,folder-nordic-vbox.svg,826,546,550,363,337,38
papirus,lightsoff.svg,591,289,293,177,174,55
papirus,folder-red-wine.svg,840,585,592,384,354,38
papirus,folder-black-open.svg,700,501,505,320,288,43
papirus,folder-violet-favorites.svg,838,555,563,371,353,34
papirus,qasmixer.svg,1366,997,993,469,421,216
papirus,beyondallreason.svg,1220,816,805,438,400,55
papirus,i-nex.svg,979,523,573,332,322,46
papirus,application-x-kodelife-project.svg,984,470,487,303,260,146
papirus,application-x-atari-lynx-rom.svg,871,475,506,300,263,143
papirus,ms-onedrive.svg,3642,962,1365,606,575,232
papirus,infector.svg,1155,661,724,298,264,234
papirus,folder-paleorange-photo.svg,918,644,624,420,397,38
papirus,folder-bluegrey-applications.svg,1292,801,802,508,461,38
papirus,folder-grey-remote-open.svg,858,592,593,397,367,43
papirus,marknoto.svg,701,378,370,229,215,28
papirus,eBook-speaker.svg,1132,778,784,395,349,294
papirus,application-x-srt.svg,663,366,368,240,206,27
papirus,ao-app.svg,1424,929,524,492,478,171
papirus,emblem-dropbox-app.svg,459,226,219,201,201,199
papirus,workflowy.svg,934,600,605,309,298,199
papirus,folder-brown-pictures-open.svg,850,605,609,401,371,53
papirus,folder-palebrown-documents-open.svg,827,567,571,377,350,43
papirus,application-x-nes-rom.svg,1758,822,822,527,494,61
papirus,folder-bluegrey-videos-open.svg,865,589,593,393,370,53
papirus,granule.svg,679,428,459,310,286,228
papirus,folder-teal-download-open.svg,778,551,555,357,328,43
papirus,vibrantLinux.svg,1126,442,443,259,260,213
papirus,epsxe.svg,2565,1168,1069,819,766,385
papirus,foursquare.svg,633,315,315,199,191,80
papirus,org.kde.kontrast.svg,901,368,388,239,239,179
papirus,folder-blue.svg,700,501,505,326,290,38
papirus,gitter.svg,568,368,367,219,206,80
papirus,folder-violet-videos-open.svg,865,589,593,393,366,50
papirus,QMPlay2.svg,945,342,354,240,235,212
papirus,notification-gsm-connected.svg,580,317,320,210,197,187
papirus,tilp.svg,3368,1059,1190,778,738,546
papirus,folder-black-download.svg,778,551,555,359,325,38
papirus,view-financial-budget.svg,3244,560,1876,251,198,246
papirus,folder-black-documents-open.svg,827,567,571,374,339,43
papirus,netbeans.svg,3871,1683,1455,995,947,626
papirus,rstudio.svg,1654,884,676,447,421,406
papirus,folder-yellow-code.svg,927,585,602,392,372,48
papirus,user-orange-home.svg,773,546,550,355,324,38
papirus,folder-yaru-remote-open.svg,858,592,593,399,365,43
papirus,folder-brown-favorites.svg,838,555,563,373,349,47
papirus,com.github.dbhowell.peeq.svg,3439,1267,1236,810,779,782
papirus,downline.svg,594,332,330,218,206,97
papirus,x-tile.svg,2056,967,1008,451,437,396
papirus,bzflag.svg,1431,993,1000,555,511,395
papirus,input-mouse.svg,1223,489,495,289,272,129
papirus,audacious.svg,1989,716,717,451,415,277
papirus,folder-blue-favorites.svg,838,555,563,372,351,37
papirus,otter-browser.svg,867,344,374,192,177,108
papirus,battery-empty.svg,470,110,298,103,97,85
papirus,bespoke_icon.svg,2399,1007,1082,641,593,490
papirus,user-indigo-home-open.svg,773,546,550,358,324,40
papirus,folder-green-development.svg,1290,752,730,492,489,38
papirus,text-x-makefile.svg,1114,507,519,352,328,183
papirus,folder-paleorange-pictures.svg,850,605,609,401,374,38
papirus,catia.svg,1448,564,571,319,310,114
papirus,mx-select-sound.svg,1742,900,896,487,451,35
papirus,folder-yaru-pictures.svg,850,605,609,401,367,38
papirus,folder-deeporange-drag-accept.svg,628,425,429,266,248,40
papirus,financial-schedule.svg,866,616,619,352,312,62
papirus,notification-network-ethernet-disconnected.svg,942,506,520,292,277,260
papirus,image-svg+xml-compressed.svg,1047,602,636,385,354,357
papirus,raven-reader.svg,2449,874,891,580,544,470
papirus,chrome-app-list.svg,1739,1576,1541,454,410,135
papirus,mini-calendar-widget.svg,789,400,401,233,205,124
papirus,folder-indigo-applications.svg,1292,801,802,509,463,38
papirus,folder-paleorange-script.svg,1091,713,717,479,454,39
papirus,folder-palebrown-mail-cloud.svg,938,640,650,456,435,38
papirus,folder-violet-templates.svg,1029,871,785,481,427,35
papirus,application-vnd.oasis.opendocument.formula.svg,1041,470,488,318,289,42
papirus,folder-black-music.svg,888,632,606,403,357,38
papirus,vcs-conflicting.svg,245,78,106,86,83,66
papirus,folder-paleorange-templates-open.svg,1029,871,785,478,431,47
papirus,folder-white-unlocked.svg,964,641,652,418,378,38
papirus,folder-paleorange-vbox.svg,826,546,550,362,337,38
papirus,abbaye.svg,717,514,529,271,242,198
papirus,password-manager.svg,672,360,344,199,192,27
papirus,your-freedom.svg,891,315,350,241,227,207
papirus,darwinia.svg,1285,794,824,331,301,43
papirus,folder-breeze-google-drive.svg,880,567,571,372,344,38
papirus,owncloud.svg,1428,483,487,259,236,138
papirus,folder-teal-unlocked.svg,970,641,652,421,392,38
papirus,com.github.themix_project.Oomox.svg,1383,510,566,280,272,226
papirus,folder-blue-videos-open.svg,865,589,593,394,368,53
papirus,folder-paleorange-drag-accept.svg,628,425,429,268,250,40
papirus,folder-breeze-documents-open.svg,827,567,571,376,351,43
papirus,folder-black-remote-open.svg,858,592,593,397,360,43
papirus,folder-blue-wifi.svg,806,549,554,366,336,38
papirus,folder-bluegrey-visiting.svg,995,627,650,417,394,38
papirus,emily-is-away.svg,750,427,392,289,289,203
papirus,folder-carmine-script.svg,1091,713,717,471,442,39
papirus,kontena-lens.svg,888,468,498,302,285,172
papirus,folder-breeze-music.svg,888,632,606,406,363,38
papirus,folder-deeporange-github.svg,1637,833,836,622,598,38
papirus,com.github.alcadica.develop.svg,2399,976,1056,524,485,112
papirus,folder-deeporange-pictures.svg,850,605,609,401,376,38
papirus,bookworm.svg,748,329,368,201,171,32
papirus,network-card.svg,1361,697,696,406,369,58
papirus,Zoom.svg,1672,704,710,465,425,333
papirus,nightsky.svg,458,223,231,137,133,72
papirus,folder-red-code.svg,927,585,602,393,372,38
papirus,edex-ui.svg,1038,351,427,196,187,127
papirus,folder-white-wine.svg,834,585,592,378,342,38
papirus,phototonic.svg,2127,856,886,639,615,602
papirus,folder-white-wifi.svg,800,549,554,359,326,38
papirus,cutemaze.svg,868,530,546,334,311,267
papirus,folder-orange-download.svg,778,551,555,359,334,38
papirus,folder-green-github.svg,1637,833,836,624,593,38
papirus,application-x-vmware-vmfoundry.svg,810,582,603,336,285,47
papirus,stuntrally.svg,1174,472,470,315,290,175
papirus,libreoffice-main.svg,629,414,331,271,249,172
papirus,kube.svg,703,425,408,261,245,137
papirus,bareftp.svg,3248,1127,1123,672,635,293
papirus,folder-red-drag-accept.svg,628,425,429,267,243,40
papirus,folder-bluegrey-drag-accept.svg,628,425,429,268,251,40
papirus,folder-indigo-github.svg,1637,833,836,623,597,38
papirus,com.github.allen-b1.news.svg,805,433,411,301,284,170
papirus,emblem-default.svg,240,81,86,94,86,26
papirus,folder-green-kde.svg,1722,902,918,665,635,38
papirus,folder-breeze-pictures.svg,850,605,609,401,370,38
papirus,emblem-important.svg,219,84,84,78,76,48
papirus,devdocs.svg,702,369,370,219,212,123
papirus,folder-teal-photo.svg,918,644,624,416,388,39
papirus,notification-network-ethernet-connected.svg,583,358,362,209,196,187
papirus,ldview.svg,991,447,528,276,264,253
papirus,io.gitlab.leesonwai.Sums.svg,724,461,475,263,240,50
papirus,kget.svg,993,510,526,363,347,193
papirus,com.gitlab.bitseater.meteo.svg,1070,530,623,362,361,348
papirus,folder-deeporange-templates.svg,1029,871,785,480,436,38
papirus,shadowsocks-qt5.svg,637,274,275,191,169,115
papirus,half-life-alyx.svg,678,356,359,237,229,112
papirus,folder-violet-vbox.svg,826,546,550,361,331,34
papirus,folder-violet-arduino.svg,2273,1174,1109,836,791,463
papirus,6180-the-moon.svg,1166,781,789,451,372,361
papirus,openoffice4-writer.svg,513,273,281,171,154,70
papirus,minetime.svg,1242,506,533,295,263,183
papirus,xfe.svg,567,384,387,250,249,170
papirus,com.github.alainm23.byte.svg,877,457,443,263,236,187
papirus,user-green-home.svg,773,546,550,357,323,38
papirus,user-paleorange-home.svg,773,546,550,357,329,38
papirus,fontforge.svg,1687,536,667,349,322,220
papirus,folder-breeze-code.svg,927,585,602,393,373,38
papirus,folder-bluegrey-download.svg,778,551,555,361,334,38
papirus,folder-black-visiting.svg,995,627,650,414,384,38
papirus,microsoft.svg,544,300,300,190,183,129
papirus,folder-indigo-templates.svg,1029,871,785,481,427,38
papirus,taskbar.svg,1943,1272,1290,524,419,488
papirus,folder-orange-templates.svg,1029,871,785,480,435,39
papirus,folder-yaru-favorites.svg,838,555,563,370,351,37
papirus,vmware-player.svg,1816,1056,1091,591,559,490
papirus,folder-black-favorites.svg,838,555,563,368,345,37
papirus,folder-green-templates-open.svg,1029,871,785,476,427,47
papirus,face-smile-big.svg,1056,165,470,128,129,64
papirus,folder-deeporange-development.svg,1290,752,730,488,473,38
papirus,folder-orange-video.svg,874,589,601,391,361,38
papirus,peerunity.svg,991,328,386,229,212,156
papirus,folder-red-git.svg,1236,725,729,440,441,39
papirus,brackets-electron.svg,584,445,454,258,215,151
papirus,folder-grey-photo.svg,918,644,624,412,384,38
papirus,nexuiz.svg,5914,2067,2053,1203,1108,1162
papirus,com.szibele.e-juice-calc.svg,794,419,425,283,271,245
papirus,folder-nordic-documents-open.svg,827,567,571,378,354,43
papirus,folder-palebrown-wifi.svg,806,549,554,365,336,38
papirus,user-red-home-open.svg,773,546,550,356,322,40
papirus,rsibreak.svg,1288,619,619,364,341,266
papirus,folder-breeze-music-open.svg,888,632,606,400,364,94
papirus,text-x-cobol.svg,6290,2100,2098,1266,1164,641
papirus,folder-yaru-templates-open.svg,1029,871,785,472,427,47
papirus,redshift.svg,1315,567,578,454,424,39
papirus,folder-pink-vbox.svg,826,546,550,360,338,38
papirus,liteupgrade.svg,525,356,359,221,201,97
papirus,text-vcard.svg,2556,944,993,595,541,444
papirus,application-x-aoi.svg,1619,750,760,439,406,377
papirus,folder-pink-favorites.svg,838,555,563,370,357,37
papirus,flareget.svg,983,350,362,253,242,27
papirus,folder-brown-remote-open.svg,858,592,593,400,377,53
papirus,folder-red-applications.svg,1292,801,802,508,461,38
papirus,AdobePrelude.svg,1216,563,562,407,401,282
papirus,folder-darkcyan-download.svg,778,551,555,360,329,38
papirus,freecad.svg,1262,760,614,558,522,508
papirus,folder-magenta-git.svg,1236,725,729,442,420,48
papirus,Encryptr.svg,672,356,386,242,239,106
papirus,folder-blue-git.svg,1236,725,729,443,423,39
papirus,laverna.svg,799,349,351,213,203,90
papirus,de.haeckerfelix.Fragments.svg,2753,998,1027,720,710,643
papirus,folder-white-documents-open.svg,821,567,571,370,337,43
papirus,freeoffice-textmaker.svg,698,351,359,215,204,170
papirus,folder-carmine-music.svg,888,632,606,398,360,38
papirus,folder-orange-wifi.svg,806,549,554,362,340,38
papirus,blackmagicraw-speedtest.svg,3112,1104,1359,665,619,245
papirus,Impactor.svg,2136,1086,1046,775,703,757
papirus,folder-deeporange-pictures-open.svg,850,605,609,402,370,43
papirus,folder-palebrown-activities.svg,838,577,581,357,322,62
papirus,folder-magenta-download-open.svg,778,551,555,360,329,53
papirus,text-x-log.svg,650,297,292,204,181,54
papirus,text-r.svg,996,429,479,336,323,172
papirus,folder-black-development.svg,1290,752,730,490,484,38
papirus,mintsources-additional.svg,888,397,431,211,214,105
papirus,phantompeer.svg,1409,904,909,540,515,247
papirus,pulseview.svg,978,534,537,336,309,314
papirus,folder-grey-visiting.svg,995,627,650,414,387,38
papirus,folder-grey-unlocked.svg,970,641,652,419,383,38
papirus,io.ark.Desktop.svg,654,400,402,254,246,131
papirus,google-play-music-desktop-player.svg,3353,1176,1286,774,749,389
papirus,colortone.svg,1194,627,639,403,376,276
papirus,folder-darkcyan-drag-accept.svg,628,425,429,267,247,40
papirus,Nextcloud_ok.svg,189,76,76,89,81,26
papirus,folder-indigo-mail-cloud.svg,938,640,650,456,435,38
papirus,folder-red-kde.svg,1722,902,918,665,638,38
papirus,folder-teal-templates.svg,1029,871,785,474,434,39
papirus,folder-yellow-wine.svg,840,585,592,386,357,47
papirus,preferences-desktop-emoticons.svg,1088,447,543,336,322,238
papirus,krita.svg,2473,855,868,581,536,515
papirus,touchpad-indicator.svg,602,476,480,280,282,257
papirus,opengl.svg,1234,480,495,328,312,27
papirus,openboard.svg,1059,400,405,270,255,236
papirus,text-x-texmacs.svg,1321,556,552,343,304,37
papirus,com.github.thejambi.dayjournal.svg,4051,1734,1861,1245,1082,913
papirus,org.gnome.Keysign.svg,2558,994,1006,546,525,94
papirus,pingus-icon.svg,1359,621,624,349,326,264
papirus,folder-green-script.svg,1091,713,717,479,452,39
papirus,org.gnome.Pinpoint.svg,541,307,319,205,205,28
papirus,ease.svg,599,309,311,222,206,136
papirus,nasc.svg,749,396,425,268,228,119
papirus,duckstation.svg,2332,928,956,580,552,374
papirus,FreeTexturePacker.svg,2560,950,956,589,533,321
papirus,semaphor.svg,825,344,356,187,181,28
papirus,folder-cyan-open.svg,700,501,505,322,292,43
papirus,folder-darkcyan-development.svg,1290,752,730,491,478,38
papirus,apple-music.svg,1071,568,570,288,267,250
papirus,kubeplayer.svg,1423,622,676,398,388,186
papirus,folder-darkcyan-documents-open.svg,827,567,571,375,346,43
papirus,zeal.svg,839,303,309,207,201,179
papirus,xfce4-systray.svg,823,406,405,234,216,173
papirus,folder-yaru-dropbox.svg,885,626,630,399,385,38
papirus,application-epub+zip.svg,1118,490,490,299,283,147
papirus,application-x-font-ttf.svg,1818,684,699,473,446,300
papirus,dropbox.svg,1269,582,585,303,317,281
papirus,user-white-home-open.svg,767,546,550,351,312,40
papirus,folder-yellow-print.svg,875,617,621,411,381,48
papirus,folder-bluegrey-kde.svg,1722,902,918,665,635,38
papirus,text-x-kotlin.svg,856,311,398,203,194,148
papirus,emblem-photos.svg,321,157,158,137,128,99
papirus,application-vnd.flatpak.svg,2933,810,1136,388,369,223
papirus,fontypython.svg,1083,604,617,380,339,259
papirus,folder-nordic-google-drive.svg,880,567,571,376,345,38
papirus,uget.svg,697,513,519,302,268,251
papirus,application-x-kicad-schematic.svg,2785,1570,1731,847,803,391
papirus,openage.svg,1401,600,624,395,342,259
papirus,no-mans-sky.svg,594,246,280,173,165,67
papirus,write_stylus.svg,4649,2214,1675,1336,1274,1335
papirus,wavebox.svg,992,428,437,281,259,220
papirus,folder-yellow-drag-accept.svg,628,425,429,267,245,44
papirus,folder-bluegrey-photo.svg,918,644,624,417,394,38
papirus,user-carmine-desktop.svg,517,305,297,204,197,37
papirus,model-stl.svg,1272,546,538,336,335,311
papirus,cdbaby.svg,672,388,421,271,243,118
papirus,folder-breeze-templates-open.svg,1029,871,785,475,424,47
papirus,com.github.torikulhabib.mindi.wma.svg,2685,1013,1078,786,772,534
papirus,gnumeric.svg,774,456,458,247,209,123
papirus,com.github.bluesabre.darkbar.svg,1069,530,616,315,285,263
papirus,little-inferno.svg,1086,589,593,353,326,62
papirus,ksnakeduel.svg,651,362,299,239,230,118
papirus,folder-white-music.svg,882,632,606,400,355,38
papirus,folder-black-activities.svg,838,577,581,353,315,62
papirus,libreoffice-calc.svg,895,966,536,449,403,202
papirus,distributor-logo-devuan.svg,829,349,335,207,198,186
papirus,multiwinia.svg,1282,798,825,335,307,58
papirus,terminator.svg,990,606,589,366,301,267
papirus,nicotine-plus.svg,1065,831,499,506,473,389
papirus,folder-red-templates.svg,1029,871,785,476,432,39
papirus,folder-brown-documents.svg,830,567,574,378,349,48
papirus,subsurface-icon.svg,6418,2310,2345,1414,1293,1318
papirus,fceux.svg,1348,662,641,426,391,372
